team1,team2,team1-goals,team2-goals
Winthrop,Charleston Southern,70,65
Tarleton State,Grand Canyon,59,80
Morehead State,Tennessee State,71,64
Texas Southern,Alcorn State,72,73
Creighton,Xavier,73,80
Norfolk State,Howard,77,74
Houston,Tulsa,66,64
UC Santa Barbara,Cal State Fullerton,73,79
Colorado,Arizona State,75,57
Oregon State,UCLA,65,81
Oregon,USC,79,69
Penn State,Ohio State,56,61
Iowa,Minnesota,81,71
Niagara,Iona,55,78
Georgetown,St. John's,69,88
Butler,Villanova,42,82
Purdue,Illinois,96,88
Drexel,Hofstra,68,71
Texas Southern,Jackson State,58,61
Drake,Southern Illinois,60,59
Norfolk State,Maryland Eastern Shore,72,58
Utah State,Fresno State,54,61
Wisconsin,Northwestern,82,76
Maryland,Michigan,64,83
Ohio,Miami (OH),86,63
Tennessee,Vanderbilt,68,60
South Carolina,Arkansas,59,75
Missouri,Ole Miss,78,53
Loyola Chicago,Evansville,77,48
Jacksonville,Liberty,49,88
Iowa State,Texas Tech,60,72
Kansas State,Texas,66,65
Baylor,West Virginia,77,68
North Carolina,Miami (FL),57,85
Clemson,Syracuse,78,91
Kansas,Oklahoma,67,64
South Florida,Houston,55,74
Duke,Florida State,78,79
Davidson,VCU,63,61
Butler,Connecticut,59,76
Iona,Monmouth,86,85
St. Bonaventure,Dayton,50,68
IUPUI,Ohio State,37,83
Iowa,Rutgers,46,48
LSU,Alabama,67,70
Mississippi State,Florida,72,80
Bradley,Drake,83,71
New Hampshire,Hartford,57,69
TCU,Oklahoma State,56,57
Virginia Tech,North Carolina State,62,59
Wake Forest,Georgia Tech,80,64
Virginia,Pittsburgh,66,61
Colgate,Bucknell,75,56
St. John's,Creighton,64,87
Marquette,Villanova,57,54
Purdue,Indiana,65,68
Chattanooga,UNCG,72,64
Elon,Drexel,49,77
North Dakota,Oral Roberts,76,80
Charlotte,North Texas,51,65
Grand Canyon,Stephen F. Austin,46,71
San Diego,BYU,71,79
Seattle,Abilene Christian,72,62
Sacramento State,Eastern Washington,62,75
Belmont,Morehead State,74,83
USC,Colorado,61,58
Connecticut,Butler,75,56
UCLA,Utah,63,58
Washington,Oregon State,82,72
Georgetown,Providence,75,83
Boise State,Utah State,62,59
North Florida,Florida State,73,86
San Francisco,Gonzaga,62,78
Winthrop,Presbyterian,60,58
Michigan State,Wisconsin,86,74
Illinois,Maryland,65,81
St. Bonaventure,Duquesne,64,56
Youngstown State,Cleveland State,61,64
Toledo,Ohio,87,69
Boise State,San Diego State,42,37
Rutgers,Minnesota,65,68
Penn State,Iowa,51,68
Samford,UNCG,58,61
William & Mary,Drexel,83,75
LSU,Tennessee,50,64
Texas A&M,Arkansas,73,76
Missouri,Alabama,76,86
Vanderbilt,Florida,42,61
Saint Joseph's,VCU,54,70
North Dakota State,Oral Roberts,72,71
Drake,Northern Iowa,82,74
Missouri State,Loyola Chicago,79,69
Hartford,Vermont,72,82
West Virginia,Texas Tech,65,78
Oklahoma State,Texas,51,56
Baylor,Oklahoma,65,51
Kansas,Kansas State,78,75
Florida State,Miami (FL),61,60
Virginia Tech,Boston College,63,68
Syracuse,Duke,59,79
Pittsburgh,Clemson,48,75
Virginia,North Carolina State,63,77
North Carolina,Wake Forest,76,98
Old Dominion,North Texas,56,69
Portland,BYU,65,78
Gardner-Webb,Winthrop,62,64
Grand Canyon,Sam Houston State,56,58
California Baptist,Abilene Christian,68,77
Northern Colorado,Eastern Washington,87,83
SIUE,Morehead State,74,77
Villanova,Georgetown,85,74
DePaul,Creighton,47,60
East Carolina,Houston,36,79
Coppin State,Norfolk State,77,84
USC,Utah,79,67
Alabama A&M,Texas Southern,44,78
UCLA,Colorado,71,65
Northwestern,Purdue,60,80
Michigan,Indiana,80,62
Iona,Quinnipiac,76,61
Robert Morris,Cleveland State,68,75
Washington,Oregon,56,84
Clayton State,Georgia Tech,53,103
Texas Tech,Kansas,91,94
Louisville,Virginia,52,64
Loyola Maryland,Colgate,52,65
Morgan State,Norfolk State,62,82
Alabama State,Texas Southern,66,73
Tennessee State,Morehead State,54,67
Virginia Tech,North Carolina,68,78
Florida,Ole Miss,54,70
Eastern Washington,Idaho State,89,63
Arizona State,USC,56,78
Hartford,Binghamton,64,74
Winthrop,High Point,56,65
UNLV,San Diego State,55,80
Michigan State,Illinois,55,56
Maryland,Rutgers,68,60
Northern Illinois,Ohio,62,74
Auburn,Missouri,55,54
Alabama,Georgia,76,82
Southern Illinois,Loyola Chicago,47,59
Texas,TCU,73,50
Kansas State,Baylor,49,74
Clemson,Duke,69,71
Syracuse,Pittsburgh,53,64
DePaul,Villanova,43,67
Georgetown,Connecticut,73,96
UC Santa Barbara,CSUN,72,45
Siena,Iona,57,74
Arizona,UCLA,59,75
Colorado,Oregon,82,78
Northwestern,Michigan,70,72
St. Bonaventure,George Mason,66,75
VCU,Davidson,70,68
UNCG,East Tennessee State,80,76
Texas A&M,LSU,64,70
Arkansas,Ole Miss,64,55
Florida,Tennessee,71,78
Drake,Illinois State,89,88
Binghamton,Hartford,60,72
Oklahoma,West Virginia,72,62
Iowa State,Oklahoma State,84,81
Miami (FL),Virginia Tech,78,75
Boston College,North Carolina,47,58
Florida State,Georgia Tech,61,75
Winthrop,USC Upstate,95,91
Abilene Christian,Texas-Rio Grande Valley,87,85
Creighton,Butler,55,72
San Diego State,Utah State,57,75
Purdue,Iowa,83,73
Ohio State,Minnesota,75,64
Oral Roberts,Omaha,100,88
Drexel,James Madison,88,82
North Alabama,Liberty,53,72
North Texas,Southern Miss,63,54
Loyola Marymount,Gonzaga,55,89
BYU,Santa Clara,76,77
Eastern Washington,Montana State,65,69
Morehead State,Southeast Missouri State,74,73
California,UCLA,57,81
Colorado,Washington,58,60
Stanford,USC,64,61
Loyola Chicago,Southern Illinois,44,39
Wisconsin,Nebraska,73,65
Cleveland State,Wright State,71,67
Ohio,Buffalo,74,53
Colgate,Boston University,72,76
Utah State,Nevada,78,49
Rutgers,Nebraska,63,61
Michigan,Michigan State,67,83
Indiana,Maryland,68,55
Illinois,Northwestern,59,56
VCU,Richmond,64,62
Oral Roberts,Denver,89,80
UNCG,Wofford,66,85
Drexel,Towson,62,66
Tennessee,Texas,51,52
Missouri,Iowa State,50,67
Mississippi State,Texas Tech,50,76
Kentucky,Kansas,80,62
Oklahoma State,Florida,72,81
Oklahoma,Auburn,68,86
West Virginia,Arkansas,68,77
Baylor,Alabama,78,87
Saint Joseph's,St. Bonaventure,69,80
Jacksonville State,Liberty,77,67
Virginia Tech,Florida State,85,72
Miami (FL),Georgia Tech,73,62
Virginia,Notre Dame,65,69
Wake Forest,Syracuse,72,94
North Carolina State,North Carolina,80,100
North Texas,Louisiana Tech,63,62
Eastern Washington,Montana,59,61
LSU,TCU,68,77
Grand Canyon,New Mexico State,61,71
Abilene Christian,Lamar,85,82
BYU,Pacific,73,76
Portland,Gonzaga,72,104
Winthrop,Longwood,88,92
Morehead State,Murray State,66,77
Texas Southern,Prairie View A&M,75,74
Georgetown,Butler,53,56
Xavier,Creighton,74,64
Norfolk State,South Carolina State,87,69
St. John's,Villanova,62,73
Connecticut,DePaul,57,50
California,USC,72,79
Houston,UCF,63,49
Stanford,UCLA,43,66
Oregon State,Oregon,56,78
UC Santa Barbara,Hawaii,62,65
Ohio State,Purdue,78,81
Minnesota,Wisconsin,60,66
Saint Peter's,Iona,77,85
Loyola Chicago,Drake,68,77
Cleveland State,Northern Kentucky,72,78
Colorado,Washington State,43,70
Iowa,Penn State,86,90
TCU,Oklahoma,72,63
West Virginia,Baylor,77,81
Norfolk State,North Carolina Central,67,70
New Mexico,San Diego State,47,72
Drexel,UNCW,63,70
Morehead State,Tennessee Tech,70,56
Colgate,Lafayette,72,61
Hartford,Maine,78,66
Eastern Washington,Weber State,84,90
Liberty,Kennesaw State,65,50
Davidson,St. Bonaventure,81,76
Ball State,Ohio,63,87
Ole Miss,LSU,76,72
Alabama,Auburn,81,100
Texas A&M,Tennessee,80,90
Air Force,Utah State,46,73
Rutgers,Northwestern,78,79
Nebraska,Michigan,79,85
Michigan State,Maryland,65,63
Texas,Texas Tech,64,77
Kansas,Iowa State,70,61
Boston College,Virginia,55,67
Creighton,Connecticut,59,55
Seton Hall,Georgetown,70,63
North Carolina,Louisville,90,83
Wisconsin,Illinois,67,80
Purdue,Minnesota,88,73
Dayton,VCU,82,52
VMI,UNCG,76,65
Florida,Missouri,66,65
Arkansas,Georgia,99,73
Illinois State,Loyola Chicago,64,78
Drake,Indiana State,85,67
Hartford,New Hampshire,64,70
Oklahoma State,Kansas State,68,71
Florida State,Clemson,69,75
Syracuse,North Carolina State,89,82
Georgia Tech,Virginia Tech,66,81
Chicago State,Abilene Christian,73,77
Villanova,Marquette,73,83
Bucknell,Colgate,69,83
Tulane,Houston,62,73
Western Illinois,Oral Roberts,90,85
Liberty,Bellarmine,66,53
San Francisco,BYU,73,59
Seattle,Grand Canyon,66,78
Tennessee Tech,Morehead State,68,75
UCLA,Arizona,66,76
Oregon State,Utah,59,84
Oregon,Colorado,66,51
UC Irvine,UC Santa Barbara,53,52
USC,Arizona State,58,53
St. John's,Georgetown,90,77
North Carolina A&T,Winthrop,54,64
Eastern Michigan,Ohio,68,81
Gonzaga,San Diego,92,62
San Jose State,Utah State,62,78
Drexel,Delaware,76,68
Iona,Canisius,70,62
St. Bonaventure,Richmond,61,71
Green Bay,Cleveland State,69,85
Creighton,Seton Hall,55,74
San Diego State,Colorado State,57,58
UNLV,Utah State,75,90
Penn State,Wisconsin,49,51
Michigan State,Rutgers,63,84
Michigan,Purdue,76,82
Illinois,Indiana,74,57
Duquesne,VCU,62,71
UNCG,Furman,58,56
Western Michigan,Ohio,64,77
Missouri,Texas A&M,70,66
Mississippi State,Arkansas,55,63
Kentucky,Alabama,66,55
LSU,Vanderbilt,66,75
Ole Miss,Florida,57,62
Tennessee,South Carolina,81,57
St. Thomas (MN),Oral Roberts,66,88
Northern Iowa,Drake,74,69
Albany,Hartford,71,52
Liberty,Eastern Kentucky,91,84
Texas Tech,West Virginia,60,53
Oklahoma,Oklahoma State,55,64
Baylor,Kansas,59,83
Iowa State,Texas,41,63
Louisville,Syracuse,69,92
Wake Forest,Florida State,68,60
Clemson,Georgia Tech,64,69
Miami (FL),Virginia,58,71
Duke,North Carolina,87,67
Virginia Tech,Pittsburgh,76,71
UTSA,North Texas,45,69
Gonzaga,BYU,90,57
Winthrop,Hampton,69,57
Texas-Rio Grande Valley,Abilene Christian,66,83
California Baptist,Grand Canyon,50,56
Eastern Washington,Southern Utah,72,84
Austin Peay,Morehead State,52,77
Texas Southern,Florida A&M,67,55
Colgate,American University,86,68
Oregon,Utah,80,77
Oregon State,Colorado,63,86
Connecticut,Villanova,74,85
USC,Arizona,63,72
UCLA,Arizona State,84,87
California-San Diego,UC Santa Barbara,48,84
Minnesota,Iowa,59,71
Maryland,Ohio State,67,82
Iona,Niagara,71,80
Loyola Chicago,Missouri State,71,62
Milwaukee,Cleveland State,71,84
Providence,Georgetown,71,52
Houston,Cincinnati,80,58
Nevada,San Diego State,63,65
Kansas,Texas,76,79
Virginia,Duke,69,68
Texas Southern,Bethune-Cookman,66,63
UNCG,Western Carolina,68,49
James Madison,Drexel,66,72
Pittsburgh,Virginia Tech,47,74
Hartford,Massachusetts-Lowell,75,85
Holy Cross,Colgate,60,87
UTEP,North Texas,58,66
Utah State,Wyoming,76,78
Wisconsin,Michigan State,70,62
Michigan,Penn State,58,57
Rhode Island,VCU,64,73
Ohio,Toledo,62,77
Missouri,Vanderbilt,62,70
LSU,Texas A&M,76,68
Auburn,Arkansas,76,80
Oklahoma State,TCU,73,77
Iowa State,West Virginia,63,79
Syracuse,Boston College,73,64
North Carolina,Clemson,79,77
Marquette,Connecticut,72,80
Lipscomb,Liberty,69,78
Villanova,St. John's,75,69
Butler,Creighton,52,54
Fordham,St. Bonaventure,51,76
UCLA,Stanford,79,70
Illinois,Purdue,68,84
Pacific,USC,68,74
Ohio State,Rutgers,64,66
Alabama,Ole Miss,97,83
Tennessee,Mississippi State,72,63
Georgia,Florida,63,72
Missouri State,Drake,66,62
Loyola Chicago,Bradley,61,68
Hartford,UMBC,64,68
Texas Tech,Oklahoma,55,70
Baylor,Kansas State,75,60
Georgia Tech,Miami (FL),70,79
Pittsburgh,Florida State,56,51
Radford,Winthrop,48,58
Houston,SMU,83,85
Lehigh,Colgate,62,78
Georgetown,DePaul,74,82
California,Oregon State,63,61
San Diego State,San Jose State,72,62
Iowa,Maryland,110,87
Citadel,UNCG,66,86
Hofstra,Drexel,83,73
UIC,Cleveland State,76,75
BYU,Loyola Marymount,83,82
Pacific,Gonzaga,51,89
Grand Canyon,Utah Valley,79,69
Weber State,Eastern Washington,67,75
Morehead State,Belmont,47,48
Stanford,Oregon,60,68
UC Santa Barbara,Bakersfield,74,62
Duke,Clemson,82,64
Purdue,Michigan,58,82
Ohio,Central Michigan,81,72
Iona,Siena,64,70
St. Bonaventure,Saint Louis,68,61
Nevada,Utah State,85,72
Connecticut,Xavier,68,74
Air Force,San Diego State,64,76
Rutgers,Wisconsin,73,65
Ohio State,Michigan,68,57
VCU,George Mason,85,70
Northeastern,Drexel,51,67
Ohio,Eastern Michigan,74,56
Mississippi State,LSU,65,69
Florida,Kentucky,57,78
Arkansas,Alabama,67,68
Ole Miss,Missouri,68,74
Vanderbilt,Tennessee,64,73
Kansas City,Oral Roberts,86,91
Drake,Bradley,59,68
Hartford,NJIT,65,49
Liberty,Jacksonville,69,73
Texas,Baylor,63,80
West Virginia,Oklahoma State,58,81
TCU,Texas Tech,69,82
Oklahoma,Kansas,69,71
IUPUI,Cleveland State,45,83
Georgia Tech,Virginia,53,63
Syracuse,Virginia Tech,59,71
Florida State,North Carolina,74,94
Notre Dame,Clemson,76,61
North Texas,Rice,67,44
Abilene Christian,Tarleton State,77,63
BYU,Pepperdine,91,85
Saint Mary's,Gonzaga,58,74
Presbyterian,Winthrop,61,65
Idaho State,Eastern Washington,72,75
Grand Canyon,Dixie State,60,61
Murray State,Morehead State,57,53
Maryland Eastern Shore,Norfolk State,63,70
Grambling State,Texas Southern,65,68
Creighton,Georgetown,80,66
Seton Hall,Villanova,67,73
Memphis,Houston,69,59
California,Oregon,78,64
Colgate,Loyola Maryland,64,56
Utah,Colorado,76,81
UCLA,USC,64,67
UC Santa Barbara,Cal Poly,69,64
Stanford,Oregon State,76,65
Northwestern,Illinois,66,73
Nebraska,Iowa,75,98
Maryland,Purdue,61,62
Monmouth,Iona,62,70
Mercer,UNCG,73,64
Northern Iowa,Loyola Chicago,58,85
Connecticut,St. John's,63,60
West Virginia,Kansas State,73,78
Oklahoma State,Kansas,62,76
Cleveland State,Purdue Fort Wayne,98,102
Virginia,Virginia Tech,53,62
Norfolk State,Delaware State,69,66
Southern University,Texas Southern,70,58
Drexel,Charleston,75,79
Georgetown,Creighton,77,88
Vermont,Hartford,74,75
Saint Louis,St. Bonaventure,79,83
Washington State,Oregon,59,62
Lafayette,Colgate,61,69
Utah State,San Diego State,56,75
Wisconsin,Indiana,74,69
Minnesota,Ohio State,45,70
VCU,Fordham,66,61
Miami (OH),Ohio,78,91
Kentucky,Tennessee,63,76
Arkansas,Missouri,76,57
Florida,Texas A&M,55,56
Liberty,North Florida,69,72
Texas,Oklahoma,80,78
Clemson,Florida State,80,81
North Carolina State,Georgia Tech,76,61
Villanova,Providence,89,84
Iona,Saint Peter's,70,61
Colorado,Oregon State,90,64
Purdue,Northwestern,70,64
Illinois,Rutgers,59,70
Georgia,LSU,65,84
Mississippi State,Alabama,75,80
Massachusetts,St. Bonaventure,71,83
Loyola Chicago,Valparaiso,71,69
Evansville,Drake,51,73
Maine,Hartford,65,75
Baylor,Texas Tech,73,83
Pittsburgh,North Carolina,76,67
Winthrop,Gardner-Webb,81,70
Morehead State,UT Martin,68,60
Colgate,Army,100,90
Georgetown,Marquette,66,77
Seton Hall,Connecticut,65,70
Grand Canyon,California Baptist,65,60
Gonzaga,Pepperdine,86,66
Michigan,Iowa,84,79
Oral Roberts,North Dakota State,59,77
UNCG,Chattanooga,73,70
Drexel,William & Mary,72,57
North Texas,Florida Atlantic,54,51
Montana State,Eastern Washington,86,88
UCF,Houston,52,70
Oregon State,Arizona,69,83
Abilene Christian,Sam Houston State,71,75
Oregon,Arizona State,57,81
Colorado,California,70,62
Cal State Fullerton,UC Santa Barbara,67,58
Washington State,UCLA,56,76
Washington,USC,69,79
Creighton,DePaul,71,59
Maryland,Nebraska,90,74
Richmond,VCU,57,77
Cleveland State,Milwaukee,78,61
Missouri,Mississippi State,49,68
Ohio,Kent State,52,75
Oral Roberts,North Dakota,87,73
UNCG,Samford,49,55
Drexel,Elon,71,60
Auburn,Florida,62,63
Tennessee,Arkansas,48,58
LSU,South Carolina,75,77
Alabama,Kentucky,81,90
San Diego State,Fresno State,61,44
Utah State,Boise State,57,68
Illinois,Michigan State,79,74
Duquesne,St. Bonaventure,55,81
Drake,Loyola Chicago,83,76
Hartford,Stony Brook,82,88
Stetson,Liberty,82,88
Texas Tech,Texas,61,55
Kansas,West Virginia,71,58
Kansas State,Oklahoma State,79,82
TCU,Baylor,62,72
Oklahoma,Iowa State,54,75
North Carolina,Virginia Tech,65,57
Boston College,Syracuse,56,76
Florida State,Duke,70,88
Clemson,Louisville,61,70
Virginia,Miami (FL),74,71
Georgia Tech,Pittsburgh,68,62
North Texas,UAB,58,57
BYU,Saint Mary's,64,69
Santa Clara,Gonzaga,69,81
Winthrop,UNC Asheville,84,79
Eastern Washington,Idaho,80,83
New Mexico State,Grand Canyon,82,66
Southeast Missouri State,Morehead State,92,84
Xavier,Connecticut,61,72
Boston University,Colgate,53,72
Norfolk State,Coppin State,89,59
Texas Southern,Mississippi Valley State,79,59
Georgetown,Villanova,66,74
Oregon State,Arizona State,53,73
Washington,UCLA,50,76
Oregon,Arizona,81,84
Colorado,Stanford,70,53
Long Beach State,UC Santa Barbara,71,84
Iowa,Ohio State,75,62
Rutgers,Purdue,72,84
Michigan,Wisconsin,63,77
Fairfield,Iona,58,76
Cleveland State,Green Bay,79,67
Houston,Wichita State,76,74
Marquette,Creighton,82,83
Washington State,USC,60,62
Stony Brook,Hartford,70,74
Mississippi State,Missouri,58,56
Penn State,Maryland,61,67
Baylor,Oklahoma State,66,64
Louisville,North Carolina,63,70
Norfolk State,Morgan State,74,85
Texas Southern,UAPB,70,68
American University,Colgate,49,63
Florida State,Boston College,55,71
Indiana State,Drake,58,74
Loyola Chicago,Illinois State,59,50
Georgia Tech,Syracuse,73,74
Liberty,Central Arkansas,85,66
West Virginia,TCU,67,77
Arizona State,UCLA,52,66
Indiana,Ohio State,69,80
New Mexico,Utah State,56,81
San Diego State,Boise State,57,58
Michigan State,Iowa,60,86
Rhode Island,St. Bonaventure,55,73
Central Michigan,Ohio,50,76
Alabama,Vanderbilt,74,72
Tennessee,Missouri,80,61
Arkansas,Florida,82,74
Oklahoma,Texas Tech,42,66
Kansas State,Kansas,83,102
Villanova,Connecticut,69,71
Wisconsin,Minnesota,68,67
Rutgers,Michigan,62,71
LSU,Kentucky,66,71
Western Carolina,UNCG,64,73
Drake,Valparaiso,71,65
Evansville,Loyola Chicago,31,82
UMBC,Hartford,92,85
Florida Gulf Coast,Liberty,82,72
West Virginia,Iowa State,81,84
TCU,Texas,66,75
Duke,Virginia,65,61
Wake Forest,Clemson,69,80
Virginia Tech,Georgia Tech,62,58
Grand Canyon,Chicago State,85,64
Creighton,St. John's,81,78
Colgate,Holy Cross,78,71
Houston,Tulane,81,67
George Mason,VCU,66,72
Syracuse,Notre Dame,69,79
Ohio State,Illinois,86,83
Maryland,Indiana,64,74
UNCW,Drexel,69,63
South Dakota State,Oral Roberts,106,102
Cleveland State,Detroit,67,74
Southern Miss,North Texas,61,85
Loyola Marymount,BYU,59,79
Gonzaga,San Francisco,89,73
Eastern Washington,Northern Colorado,85,76
Lamar,Abilene Christian,42,77
Morehead State,Eastern Illinois,82,46
DePaul,Georgetown,68,65
Arizona State,Colorado,82,65
UCLA,Oregon,63,68
UC Santa Barbara,UC Davis,76,69
USC,Oregon State,94,91
USC Upstate,Winthrop,59,89
Iowa,Nebraska,88,78
Canisius,Iona,65,72
Akron,Ohio,91,83
San Jose State,San Diego State,52,77
Colorado State,Utah State,66,55
Wisconsin,Rutgers,66,61
Purdue,Michigan State,65,68
St. Bonaventure,Saint Joseph's,54,52
Charleston,Drexel,79,80
Florida,Georgia,84,72
Auburn,Tennessee,62,67
Missouri,LSU,55,75
South Carolina,Alabama,71,90
Kentucky,Arkansas,73,75
VCU,Massachusetts,77,62
South Dakota,Oral Roberts,92,87
Southern Illinois,Drake,60,62
Loyola Chicago,Northern Iowa,96,102
NJIT,Hartford,62,83
Liberty,Kennesaw State,100,93
Texas Tech,TCU,66,69
Texas,West Virginia,82,81
Oklahoma State,Oklahoma,62,66
Kansas,Baylor,70,80
Cleveland State,Oakland,57,65
North Carolina,North Carolina State,84,74
Florida State,Virginia,64,63
Duke,Syracuse,97,72
Virginia Tech,Miami (FL),71,70
Clemson,Boston College,70,60
Georgia Tech,Notre Dame,56,90
Louisiana Tech,North Texas,49,56
Abilene Christian,Stephen F. Austin,71,73
Pepperdine,BYU,59,75
Gonzaga,Saint Mary's,57,67
Charleston Southern,Winthrop,86,92
Sam Houston State,Grand Canyon,41,67
Eastern Washington,Sacramento State,75,81
Morehead State,SIUE,70,77
Navy,Colgate,69,74
UCLA,Oregon State,94,55
South Carolina State,Norfolk State,59,63
Arizona,Colorado,63,79
UC Santa Barbara,UC Riverside,97,90
Jackson State,Texas Southern,66,81
Creighton,Providence,51,72
USC,Oregon,70,69
Ohio State,Maryland,60,75
Illinois,Michigan,93,85
East Tennessee State,UNCG,73,69
Iona,Rider,67,61
Connecticut,Georgetown,86,77
SMU,Houston,61,75
Northwestern,Iowa,61,82
Kansas State,Texas Tech,68,73
Baylor,Texas,68,61
Syracuse,North Carolina,79,88
Alcorn State,Texas Southern,75,72
North Carolina Central,Norfolk State,46,75
San Diego State,Wyoming,73,66
UCLA,Washington,77,66
Washington State,Oregon State,103,97
Purdue,Wisconsin,67,70
Florida,Vanderbilt,82,78
Missouri,South Carolina,69,73
Tennessee,Georgia,75,68
St. Bonaventure,VCU,51,74
Ohio,Bowling Green,77,80
Hartford,Albany,67,55
West Virginia,Oklahoma,59,72
Kansas,TCU,64,74
Louisville,Virginia Tech,43,75
Providence,Villanova,74,76
CSUN,UC Santa Barbara,61,70
Cincinnati,Houston,53,71
Michigan State,Michigan,70,87
Arizona,USC,91,71
Nebraska,Ohio State,78,70
Rutgers,Indiana,66,63
Minnesota,Maryland,73,84
LSU,Arkansas,76,77
Texas A&M,Alabama,87,71
Oklahoma State,Iowa State,53,36
Georgia Tech,Clemson,65,68
Notre Dame,Florida State,70,74
Georgetown,Seton Hall,68,73
Connecticut,Creighton,62,64
Penn State,Illinois,55,60
Michigan State,Ohio State,69,80
Iowa,Michigan,82,71
Iona,Manhattan,72,74
North Texas,UTSA,59,48
Dixie State,Abilene Christian,64,80
Northern Arizona,Eastern Washington,62,69
Utah Valley,Grand Canyon,57,68
Temple,Houston,46,84
Howard,Norfolk State,61,83
Oregon,Washington,67,78
Hawaii,UC Santa Barbara,60,67
Oregon State,Washington State,67,71
Fresno State,San Diego State,64,65
TCU,Kansas,68,72
Massachusetts-Lowell,Hartford,83,73
Bucknell,Colgate,68,96
Lipscomb,Liberty,47,52
Robert Morris,Cleveland State,67,83
Tennessee Tech,Morehead State,56,73
Ohio,Northern Illinois,57,58
Richmond,St. Bonaventure,65,72
Utah State,San Jose State,75,52
Bradley,Loyola Chicago,50,66
Southern Illinois,Drake,52,65
High Point,Winthrop,51,68
Loyola Marymount,BYU,60,85
Morehead State,Belmont,53,51
San Diego State,Nevada,79,78
Indiana,Purdue,67,69
VCU,Saint Louis,65,69
Quinnipiac,Iona,61,79
Arkansas,Tennessee,74,78
Kentucky,Florida,71,63
Alabama,LSU,77,80
Georgia,Missouri,69,79
TCU,West Virginia,64,70
Texas Tech,Oklahoma State,51,52
Oklahoma,Kansas State,78,71
Texas,Kansas,63,70
Iowa State,Baylor,68,75
Virginia,Louisville,71,61
Miami (FL),Syracuse,75,72
North Carolina State,Florida State,76,89
Boston College,Georgia Tech,78,82
Virginia Tech,Clemson,59,63
North Carolina,Duke,94,81
North Texas,UTEP,68,70
Portland State,Eastern Washington,75,83
Dixie State,Grand Canyon,53,70
Tarleton State,Abilene Christian,56,61
Prairie View A&M,Texas Southern,77,78
Villanova,Butler,78,59
DePaul,Connecticut,68,75
Georgetown,Xavier,75,97
Seton Hall,Creighton,65,60
Oregon,Washington State,74,94
Oregon State,Washington,67,78
Colorado,Utah,84,71
USC,UCLA,68,75
UNCG,Samford,64,66
Bellarmine,Liberty,53,50
Loyola Chicago,Northern Iowa,66,43
Gardner-Webb,Winthrop,67,76
BYU,San Francisco,63,75
Drake,Missouri State,79,78
Morehead State,Murray State,67,71
Penn State,Rutgers,58,59
Nebraska,Wisconsin,74,73
Michigan,Ohio State,75,69
Maryland,Michigan State,67,77
Iowa,Illinois,72,74
Houston,Memphis,61,75
Western Illinois,Oral Roberts,68,80
Delaware,Drexel,66,56
Albany,Hartford,49,61
Lehigh,Colgate,61,81
Winthrop,Longwood,58,79
Loyola Chicago,Drake,64,58
Wright State,Cleveland State,82,67
San Francisco,Gonzaga,71,81
Oral Roberts,North Dakota State,72,92
North Carolina State,Clemson,64,70
Georgia Tech,Louisville,74,84
Saint Mary's,Gonzaga,69,82
Delaware State,Norfolk State,66,74
Syracuse,Florida State,96,57
West Virginia,Kansas State,73,67
Ole Miss,Missouri,60,72
Georgetown,Seton Hall,53,57
Air Force,Utah State,56,83
Northern Arizona,Eastern Washington,75,78
Oregon State,Oregon,72,86
Jackson State,Texas Southern,50,54
Hartford,UMBC,60,80
Navy,Colgate,58,74
Rider,Iona,71,70
Louisville,Virginia,50,51
Utah Valley,Abilene Christian,74,82
Ball State,Ohio,67,77
Iowa State,Texas Tech,41,72
TCU,Texas,65,60
Oklahoma,Baylor,72,67
Marquette,Creighton,63,74
UC Santa Barbara,UC Irvine,78,69
Indiana,Michigan,74,69
Maryland,Michigan State,72,76
Syracuse,Duke,79,88
Utah State,Colorado State,51,53
Eastern Washington,Northern Colorado,67,68
Oregon,Colorado,69,80
Missouri,LSU,68,76
Northwestern,Iowa,76,112
Rice,North Texas,50,68
West Virginia,Kansas,63,87
Virginia Tech,Notre Dame,87,80
Fresno State,San Diego State,46,53
St. John's,Villanova,65,66
Vanderbilt,Alabama,82,76
Penn State,Ohio State,71,68
Washington State,UCLA,65,75
Sam Houston State,Grand Canyon,66,71
Virginia,North Carolina,43,63
Seton Hall,Connecticut,52,62
Abilene Christian,Stephen F. Austin,76,62
Washington,USC,61,65
Indiana,Illinois,65,63
Cincinnati,Houston,56,69
Iowa,Rutgers,84,74
Saint Louis,St. Bonaventure,57,56
Creighton,Providence,85,58
LSU,Arkansas,67,79
TCU,Kansas,62,75
Grambling State,Texas Southern,54,73
Colorado,Arizona,72,82
UC Santa Barbara,Long Beach State,64,67
Mississippi State,Tennessee,59,72
Morgan State,Norfolk State,63,72
Michigan State,Wisconsin,69,63
Ohio,Kent State,61,67
Louisiana Tech,North Texas,42,36
Richmond,VCU,75,64
Grand Canyon,New Mexico State,70,75
Penn State,Purdue,61,69
Oklahoma,Texas Tech,55,56
Virginia Tech,North Carolina,72,59
Connecticut,Villanova,60,63
USC,UCLA,59,69
Abilene Christian,Seattle,78,76
San Diego State,Colorado State,63,58
Indiana,Iowa,77,80
Texas A&M,Arkansas,82,64
Tulane,Houston,66,86
Kentucky,Tennessee,62,69
Coppin State,Norfolk State,57,72
Creighton,Villanova,48,54
Michigan State,Purdue,70,75
