team1,team2,team1-goals,team2-goals
Brown,Creighton,57,78
Southern Illinois,Colorado,67,63
Oakland,Alabama,59,86
Hofstra,Maryland,67,69
Eastern Washington,CSUN,67,64
UNCG,Massachusetts,90,93
Siena,Georgetown,65,83
New Mexico State,Utah State,58,85
St. Bonaventure,Clemson,68,65
Oklahoma,Indiana State,87,63
Marquette,West Virginia,82,71
Canisius,Cleveland State,70,80
Manhattan,Liberty,76,60
Oral Roberts,Central Arkansas,67,70
Michigan,UNLV,74,61
Colgate,Syracuse,100,85
Villanova,Tennessee,71,53
Purdue,North Carolina,93,84
Chattanooga,VCU,56,54
Winthrop,Vanderbilt,63,77
Richmond,Drake,70,73
Binghamton,Connecticut,63,87
Texas Tech,Incarnate Word,84,62
Chicago State,UC Santa Barbara,50,81
UT Arlington,San Diego State,62,68
San Jose State,Texas,45,79
UIC,Loyola Chicago,63,80
Stanford,Baylor,48,86
Central Methodist,BYU,61,97
Iona,North Alabama,81,65
Texas State,Eastern Washington,81,74
Duquesne,Colorado,76,84
Texas Southern,North Carolina State,57,65
Merrimack College,Virginia Tech,43,72
Florida State,Loyola Marymount,73,45
Norfolk State,Xavier,48,88
Morehead State,Mississippi State,46,66
Missouri,SMU,80,75
Princeton,Oregon State,81,80
UNCG,FIU,71,74
Colorado State,Creighton,95,81
Utah State,Oklahoma,73,70
St. Bonaventure,Marquette,70,54
Clemson,West Virginia,59,66
Michigan,Arizona,62,80
Villanova,Purdue,74,80
Tennessee,North Carolina,89,72
Western Michigan,Iowa,61,109
Mount St. Mary's,Ohio,59,73
Gonzaga,Central Michigan,107,54
UCLA,Bellarmine,75,62
Charleston Southern,Georgia Tech,70,85
Texas A&M,Wisconsin,58,69
Tulane,Drexel,90,87
Butler,Houston,52,70
Illinois,Cincinnati,51,71
Virginia,Georgia,65,55
Arkansas,Kansas State,72,64
Oregon,Chaminade,73,49
Belmont,LSU,53,83
Florida,California,80,60
Dixie State,USC,71,98
Coppin State,Cleveland State,62,65
Seton Hall,Ohio State,76,79
Wyoming,Grand Canyon,68,61
Charleston,Oklahoma State,66,96
Lafayette,Rutgers,53,51
Winthrop,Washington State,86,92
Brown,Colorado,52,54
Creighton,Southern Illinois,66,64
Florida State,Missouri,81,58
Omaha,Texas Tech,40,96
Bethune-Cookman,Liberty,51,59
UNC Asheville,North Carolina,53,72
Rogers State,Oral Roberts,31,91
Gonzaga,UCLA,83,63
Hartford,Merrimack College,60,75
Regent,Norfolk State,20,95
Wisconsin,Houston,65,63
Drexel,Charlotte,67,55
Illinois,Kansas State,72,64
Cincinnati,Arkansas,67,73
Virginia,Providence,58,40
Oregon,Saint Mary's,50,62
Memphis,Virginia Tech,69,61
VCU,Syracuse,67,55
Boston University,Florida State,80,81
Loyola Chicago,Michigan State,61,63
Houston Baptist,Oklahoma,40,57
California Baptist,Texas,44,68
Connecticut,Auburn,115,109
Colgate,Harvard,84,89
Life Pacific,Grand Canyon,47,82
Texas Southern,BYU,64,81
Tarleton State,Michigan,54,65
North Carolina Wesleyan,UNCG,61,80
Arizona State,Baylor,63,75
UAPB,UC Santa Barbara,58,86
Florida,Ohio State,71,68
Drexel,Jacksonville State,64,72
Houston,Oregon,78,49
Wisconsin,Saint Mary's,61,55
Alabama,Iona,68,72
North Texas,Kansas,59,71
Richmond,Maryland,80,86
Belmont,Drake,74,69
Georgetown,San Diego State,56,73
USC,Saint Joseph's,70,55
Connecticut,Michigan State,60,64
Auburn,Loyola Chicago,62,53
Baylor,VCU,69,61
Arizona State,Syracuse,84,92
Omaha,Purdue,40,97
Oklahoma State,Oral Roberts,78,77
Oregon State,Wake Forest,77,80
Lehigh,Virginia,43,61
Charleston Southern,Clemson,59,91
Georgia Southern,Georgia Tech,59,61
Gonzaga,Duke,81,84
Tennessee Tech,Tennessee,69,80
Wichita State,Missouri,61,55
Penn State,LSU,63,68
Texas-Rio Grande Valley,Illinois,85,94
Eastern Kentucky,West Virginia,77,80
Portland State,Iowa,51,85
Morehead State,Arkansas State,75,51
Concordia (MI),Ohio,68,88
Xavier,Virginia Tech,59,58
Miami (FL),North Texas,69,63
Baylor,Michigan State,75,58
Dayton,Kansas,74,73
VCU,Connecticut,63,70
Syracuse,Auburn,68,89
Alabama,Drake,80,71
Iona,Belmont,65,72
Arizona State,Loyola Chicago,59,77
USC,San Diego State,58,43
Saint Joseph's,Georgetown,77,74
Rutgers,Massachusetts,83,85
Maryland Eastern Shore,Liberty,61,73
SIUE,Creighton,65,70
Oklahoma,UCF,65,62
Lamar,Texas Tech,57,89
BYU,Utah,75,64
Northern Iowa,St. Bonaventure,90,80
Grand Canyon,Pepperdine,59,56
UCLA,UNLV,73,51
Eastern Washington,Washington State,76,71
Kansas City,Morehead State,62,70
Winthrop,Washington,82,74
UT Arlington,Utah State,61,80
Vermont,UNCG,51,54
Penn State-Behrend,Cleveland State,47,89
McMurry,Abilene Christian,54,89
Louisville,Maryland,63,55
Penn State,Oregon State,60,45
LSU,Wake Forest,75,61
Villanova,La Salle,72,46
Troy,Florida,45,84
Penn,Arkansas,60,76
Stanford,Colorado,76,80
Hampton,Norfolk State,61,70
North Texas,Drake,57,54
Kansas,Iona,96,83
Miami (FL),Alabama,64,96
Niagara,Colgate,70,59
Iowa,Virginia,75,74
Notre Dame,Illinois,72,82
Tarleton State,Gonzaga,55,64
Tulsa,Oral Roberts,80,87
Schreiner,Abilene Christian,47,88
Grand Canyon,Loyola Marymount,78,72
Montana,Oregon,47,87
Sam Houston State,Texas,57,73
Norfolk State,Grambling State,70,63
Hartford,Appalachian State,59,69
Paul Quinn,Missouri,59,91
Carroll (MT),Utah State,63,93
UT Arlington,UC Santa Barbara,70,62
North Dakota State,Creighton,55,80
Bellarmine,West Virginia,55,74
Indiana,Syracuse,110,112
Clemson,Rutgers,64,74
Florida State,Purdue,65,93
Duke,Ohio State,66,71
Longwood,Georgetown,83,91
Presbyterian,Tennessee,44,86
Northwestern State,Houston,58,99
Long Beach State,San Diego State,47,72
Elon,UNCG,61,74
Maryland Eastern Shore,Connecticut,63,72
Iona,Marist,78,71
Ohio,LSU,51,66
Indiana State,Loyola Chicago,76,88
Central Arkansas,Arkansas,60,97
Virginia Tech,Maryland,62,58
Michigan,North Carolina,51,72
Wisconsin,Georgia Tech,70,66
Texas Tech,Providence,68,72
Wichita State,Oklahoma State,60,51
Florida,Oklahoma,67,74
BYU,Utah Valley,65,72
Villanova,Penn,71,56
Utah,USC,73,93
Colorado,UCLA,61,73
Coppin State,St. Bonaventure,81,93
Norfolk State,UNCW,74,69
Texas Southern,Louisiana Tech,60,87
Georgia Southern,Morehead State,51,59
Hartford,Winthrop,75,82
UC Riverside,Oregon,65,71
Dallas Christian,Abilene Christian,65,108
Valparaiso,Drake,66,73
Missouri,Liberty,45,66
Northern Kentucky,Cleveland State,58,72
Oral Roberts,TCU,63,71
Saint Mary's,Utah State,60,58
Oregon State,California,61,73
UTSA,Grand Canyon,71,74
Southern Utah,Eastern Washington,89,76
Fairleigh Dickinson,Drexel,65,86
Rutgers,Illinois,51,86
Iowa,Purdue,70,77
Rider,Iona,54,80
Pittsburgh,Virginia,56,57
Kansas,St. John's,95,75
Bryant,Houston,44,111
Texas-Rio Grande Valley,Texas,58,88
Pepperdine,UC Santa Barbara,74,86
Colgate,Northeastern,69,74
Buffalo,St. Bonaventure,65,68
Eastern Washington,Omaha,92,81
Wright State,Cleveland State,75,85
Clemson,Miami (FL),75,80
Wake Forest,Virginia Tech,80,61
Syracuse,Florida State,63,60
Grambling State,Connecticut,59,88
Marquette,Wisconsin,76,89
Loyola Chicago,DePaul,68,64
Campbell,VCU,61,65
Iowa State,Creighton,64,58
Tennessee,Colorado,69,54
Little Rock,Arkansas,78,93
Saint Joseph's,Villanova,52,81
BYU,Missouri State,74,68
Alabama,Gonzaga,91,82
USC,Washington State,63,61
Incarnate Word,Abilene Christian,65,98
Oral Roberts,Houston Baptist,85,67
